trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.03, 'e': 0.05613476283413374}",20,0,-10.055503017930096,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.03, 'e': 0.054475729869189894}",25,15,7.202271768068124,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.03, 'e': 0.052865728738350375}",20,11,4.010866344136036,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.03, 'e': 0.05130331033191914}",20,2,-18.254799008851553,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
100,False,"{'a': 0.03, 'e': 0.04978706836786395}",25,0,34.84756438316588,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,14,15.300972648115188,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,4.349970224279204,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,34.14333779762812,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,28.036579464743006,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,13.782266084245311,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,14,16.41445229250169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,40.63059972205639,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,8,30.718569838072067,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,4,2.9380106647208177,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,7,-29.740374794535988,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
